NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30.0,1274,7,14,16,25,30,38,23.0,6500000.0,03/12/2022
30.0,1273,1,4,8,16,26,36,27.0,5300000.0,29/11/2022
30.0,1272,3,6,19,26,34,38,17.0,5200000.0,26/11/2022
30.0,1271,17,18,24,28,30,35,10.0,5100000.0,22/11/2022
30.0,1270,4,7,19,26,31,34,30.0,5000000.0,19/11/2022
30.0,1269,3,11,24,32,34,38,22.0,5100000.0,15/11/2022
30.0,1268,4,8,24,25,26,39,34.0,5000000.0,12/11/2022
30.0,1267,2,7,8,14,15,21,4.0,13000000.0,08/11/2022
30.0,1266,2,14,22,24,26,30,34.0,10900000.0,05/11/2022
30.0,1265,3,15,17,23,31,36,2.0,9300000.0,01/11/2022
30.0,1264,2,8,17,29,36,39,15.0,7700000.0,29/10/2022
30.0,1263,3,22,25,30,36,37,13.0,6500000.0,25/10/2022
30.0,1262,1,7,9,21,33,38,22.0,5300000.0,22/10/2022
30.0,1261,7,8,23,28,31,38,1.0,5200000.0,18/10/2022
30.0,1260,6,12,13,26,36,37,19.0,5100000.0,15/10/2022
30.0,1259,2,15,21,25,32,36,12.0,5000000.0,11/10/2022
30.0,1258,4,5,10,18,20,30,9.0,6700000.0,08/10/2022
30.0,1257,3,17,19,20,21,35,11.0,5300000.0,04/10/2022
30.0,1256,7,19,21,29,33,35,2.0,5200000.0,01/10/2022
30.0,1255,1,8,10,29,31,33,18.0,5100000.0,27/09/2022
30.0,1254,8,15,23,33,37,38,27.0,5000000.0,24/09/2022
30.0,1253,4,8,9,19,24,27,15.0,32300000.0,20/09/2022
30.0,1252,3,6,7,8,31,37,30.0,29700000.0,17/09/2022
30.0,1251,6,10,15,21,23,33,13.0,28000000.0,13/09/2022
30.0,1250,2,3,13,14,17,24,19.0,26000000.0,10/09/2022
30.0,1249,6,8,20,30,31,32,38.0,23700000.0,06/09/2022
30.0,1248,8,11,16,21,27,38,32.0,21500000.0,03/09/2022
30.0,1247,3,14,17,18,24,38,8.0,19700000.0,30/08/2022
30.0,1246,4,6,11,25,26,38,9.0,17900000.0,27/08/2022
30.0,1245,2,3,14,17,30,38,26.0,16000000.0,23/08/2022
30.0,1244,9,15,20,27,28,38,34.0,14300000.0,20/08/2022
30.0,1243,3,4,6,12,22,24,39.0,12700000.0,16/08/2022
30.0,1242,2,14,18,20,29,37,28.0,11000000.0,13/08/2022
30.0,1241,6,8,12,34,38,39,29.0,9300000.0,09/08/2022
30.0,1240,10,17,21,23,28,39,9.0,7900000.0,06/08/2022
30.0,1239,5,7,23,26,27,34,32.0,6500000.0,02/08/2022
30.0,1238,8,9,13,21,24,29,7.0,5300000.0,30/07/2022
30.0,1237,5,7,13,19,37,38,32.0,5200000.0,26/07/2022
30.0,1236,1,11,15,32,36,39,27.0,5100000.0,23/07/2022
30.0,1235,4,7,12,23,26,37,38.0,5000000.0,19/07/2022
30.0,1234,1,7,10,23,33,38,15.0,9300000.0,16/07/2022
30.0,1233,5,13,23,26,27,30,22.0,8000000.0,12/07/2022
30.0,1232,5,6,14,21,23,25,33.0,6700000.0,09/07/2022
30.0,1231,8,10,28,30,35,37,22.0,5300000.0,05/07/2022
30.0,1230,13,18,20,23,29,37,22.0,5200000.0,02/07/2022
30.0,1229,1,4,15,20,33,39,13.0,5100000.0,28/06/2022
30.0,1228,5,9,16,17,32,33,15.0,5000000.0,25/06/2022
30.0,1227,6,7,9,12,31,39,38.0,6700000.0,21/06/2022
30.0,1226,23,26,34,35,37,39,13.0,5300000.0,18/06/2022
30.0,1225,3,11,14,26,29,37,30.0,5200000.0,14/06/2022
30.0,1224,3,6,9,14,21,26,4.0,5100000.0,11/06/2022
30.0,1223,9,22,23,26,27,30,20.0,5000000.0,07/06/2022
30.0,1222,4,8,17,19,22,38,35.0,21000000.0,04/06/2022
30.0,1221,16,18,25,28,29,31,26.0,19000000.0,31/05/2022
30.0,1220,7,10,17,18,29,32,21.0,17300000.0,28/05/2022
30.0,1219,4,12,17,18,25,26,27.0,15500000.0,24/05/2022
30.0,1218,3,10,17,25,31,36,37.0,13700000.0,21/05/2022
30.0,1217,2,11,13,20,23,29,26.0,12000000.0,17/05/2022
30.0,1216,18,26,27,28,29,31,17.0,10500000.0,14/05/2022
30.0,1215,17,18,19,30,31,38,10.0,9000000.0,10/05/2022
30.0,1214,6,8,9,13,27,37,19.0,7700000.0,07/05/2022
30.0,1213,9,21,23,25,33,36,39.0,6300000.0,03/05/2022
30.0,1212,5,9,15,20,30,37,18.0,5300000.0,30/04/2022
30.0,1211,8,11,13,17,30,32,16.0,5200000.0,26/04/2022
30.0,1210,4,14,21,23,27,32,26.0,5100000.0,23/04/2022
30.0,1209,6,8,22,26,34,38,24.0,5000000.0,19/04/2022
30.0,1208,4,6,21,24,28,31,20.0,6300000.0,16/04/2022
30.0,1207,5,6,19,20,35,38,7.0,5300000.0,12/04/2022
30.0,1206,8,14,18,27,30,33,37.0,5200000.0,09/04/2022
30.0,1205,10,11,18,22,23,28,14.0,5100000.0,05/04/2022
30.0,1204,2,5,15,24,32,37,19.0,5000000.0,02/04/2022
30.0,1203,6,11,26,27,33,36,2.0,21000000.0,29/03/2022
30.0,1202,1,5,8,10,12,31,3.0,19300000.0,26/03/2022
30.0,1201,4,9,10,23,25,32,12.0,17700000.0,22/03/2022
30.0,1200,1,4,7,15,22,32,13.0,16000000.0,19/03/2022
30.0,1199,6,10,24,28,33,36,32.0,14300000.0,15/03/2022
30.0,1198,10,15,17,26,35,37,27.0,12700000.0,12/03/2022
30.0,1197,1,12,13,20,33,35,28.0,11000000.0,08/03/2022
30.0,1196,2,3,7,10,18,24,26.0,9300000.0,05/03/2022
30.0,1195,13,15,18,21,25,35,32.0,8000000.0,01/03/2022
30.0,1194,2,10,14,16,21,27,37.0,6700000.0,26/02/2022
30.0,1193,3,4,7,22,24,39,26.0,5300000.0,22/02/2022
30.0,1192,2,12,16,17,18,30,19.0,5200000.0,19/02/2022
30.0,1191,6,12,18,22,27,35,29.0,5100000.0,15/02/2022
30.0,1190,9,10,11,28,31,39,34.0,5000000.0,12/02/2022
30.0,1189,6,18,26,27,29,37,7.0,28700000.0,08/02/2022
30.0,1188,2,3,10,12,15,39,22.0,26500000.0,05/02/2022
30.0,1187,9,16,26,28,33,35,20.0,24300000.0,01/02/2022
30.0,1186,2,3,12,19,22,36,7.0,22300000.0,29/01/2022
30.0,1185,1,4,8,24,31,38,2.0,20500000.0,25/01/2022
30.0,1184,2,3,6,12,16,23,30.0,18700000.0,22/01/2022
30.0,1183,1,4,16,19,27,37,8.0,16900000.0,18/01/2022
30.0,1182,2,14,22,24,32,33,17.0,15000000.0,15/01/2022
30.0,1181,1,5,19,26,31,34,39.0,13300000.0,11/01/2022
30.0,1180,3,10,13,19,29,31,30.0,11500000.0,08/01/2022
30.0,1179,2,3,11,30,32,34,19.0,10000000.0,04/01/2022
30.0,1178,3,11,12,14,28,32,9.0,8300000.0,01/01/2022
30.0,1177,11,16,23,24,26,37,29.0,6500000.0,28/12/2021
30.0,1176,5,6,22,34,35,38,11.0,6000000.0,25/12/2021
30.0,1175,12,14,15,30,33,37,13.0,5300000.0,21/12/2021
30.0,1174,2,5,17,18,19,38,31.0,5200000.0,18/12/2021
